sp_sum_score	sp_std
10	0.7608859102526822
7	0.5871429486123996
3	0.36634754853252316
11	0.6863327411532597
11	0.8255779474818966
4	0.4103913408340617
2	0.44721359549995787
6	0.47016234598162715
13	0.6708203932499369
0	0.0
7	0.48936048492959283
9	0.6048053188292993
8	0.6805570473787206
20	0.7947194142390263
4	0.4103913408340617
10	0.7608859102526822
3	0.36634754853252316
3	0.36634754853252316
3	0.3663475485325232
39	1.050062654772261
22	1.410487037944882
28	0.99472291830968
11	0.6863327411532597
15	0.7863975156570492
22	1.3726654823065194
18	0.6407232755171874
10	0.6069769786668839
14	0.9787209698591857
4	0.4103913408340617
41	1.6050905860647506
1	0.2236067977499789
13	0.8750939799154206
15	1.019545822516343
10	0.6882472016116853
23	0.3663475485325232
0	0.0
